label,Type,process,year,n,eventWeight_sum,balancedWeight_sum
0.0,0.0,QCD,2016post,404,18.8867355020898,9.4433677510449
0.0,0.0,QCD,2016pre,420,17.756702098719316,8.878351049359658
0.0,0.0,QCD,2017,529,26.854909912025104,13.427454956012552
0.0,0.0,QCD,2018,584,42.570122441221116,21.285061220610558
0.0,0.0,QCD,2024,687,76.1820066344106,38.0910033172053
0.0,0.0,QCD,2025,728,89.20216084302825,44.601080421514126
0.0,0.0,QCD,2223,2915,53.189186500871706,26.594593250435853
0.0,1.0,TTG,2016post,3360,1.130610496137291,0.5653052480686455
0.0,1.0,TTG,2016pre,2911,1.4071306971404887,0.7035653485702443
0.0,1.0,TTG,2017,5303,2.386300243290721,1.1931501216453606
0.0,1.0,TTG,2018,5612,3.6482885400057317,1.8241442700028658
0.0,1.0,TTG,2024,2277,4.476997724477806,2.238498862238903
0.0,1.0,TTG,2025,2176,5.1625945014559855,2.5812972507279928
0.0,1.0,TTG,2223,23607,19.932757519382058,9.966378759691029
0.0,2.0,signal,2016post,139,0.011294418207064531,0.15314158761183316
0.0,2.0,signal,2016pre,178,0.011435721338015636,0.1550575239098923
0.0,2.0,signal,2017,317,0.025784854464700864,0.34961814558933785
0.0,2.0,signal,2018,331,0.039682570762913295,0.5380579836640306
0.0,2.0,signal,2024,105,0.06904916689906494,0.9362411457000184
0.0,2.0,signal,2025,135,0.08350969719215884,1.1323122071919913
0.0,2.0,signal,2223,5501,0.14964579823545315,2.029054945644127
0.0,3.0,ggH,2016post,189,0.01708264508825702,0.23162444859610792
0.0,3.0,ggH,2016pre,183,0.019736014279001624,0.26760161563042156
0.0,3.0,ggH,2017,317,0.028519796503881003,0.38670136300060876
0.0,3.0,ggH,2018,329,0.04229563846426773,0.5734887007657153
0.0,3.0,ggH,2024,78,0.09377135408927319,1.2714505319769778
0.0,3.0,ggH,2025,79,0.04967245815067058,0.6735113719286572
0.0,3.0,ggH,2223,187,0.1393243205240202,1.889105507412743
0.0,4.0,bbH,2024,37,0.0020097913984366373,0.02725086320362022
0.0,4.0,bbH,2025,37,0.007142376971560579,0.09684385053696948
0.0,4.0,bbH,2223,43,0.0063915668278827125,0.08666357783146808
0.0,4.0,ttH,2016post,4107,0.49375542872866357,6.694854826623374
0.0,4.0,ttH,2016pre,3884,0.6112822255289325,8.288406607596812
0.0,4.0,ttH,2017,6690,0.9346928581547886,12.673547729774487
0.0,4.0,ttH,2018,7455,1.5335505460430632,20.79348940321088
0.0,4.0,ttH,2024,5357,2.5126456884831323,34.069089950968205
0.0,4.0,ttH,2025,5315,2.727831244787853,36.986801790523444
0.0,4.0,ttH,2223,20169,3.058799629574824,41.47441885643817
0.0,5.0,VH,2016post,207,0.02910301556028171,0.39460925967888244
0.0,5.0,VH,2016pre,188,0.03271266947007122,0.44355273957664854
0.0,5.0,VH,2017,334,0.07161439602273569,0.971023217107763
0.0,5.0,VH,2018,386,0.12056342894130197,1.6347256297317598
0.0,5.0,VH,2223,814,0.39134380410332537,5.306250429522019
0.0,6.0,VBFH,2016post,18,0.003558268324346146,0.048246740146245484
0.0,6.0,VBFH,2016pre,33,0.003544088701457388,0.04805447792245398
0.0,6.0,VBFH,2017,42,0.003815457721872274,0.05173398419299473
0.0,6.0,VBFH,2018,40,0.009000743962812044,0.12204154254625466
0.0,6.0,VBFH,2024,10,0.00884460553612895,0.11992445372316622
0.0,6.0,VBFH,2025,23,0.010765690491144354,0.14597254177468258
0.0,6.0,VBFH,2223,69,0.024248178308156725,0.3287822758752853
1.0,-1.0,signal,2016post,2635,0.015480418817618684,9.573104444273588
1.0,-1.0,signal,2016pre,3127,0.016897353499809458,10.449338082596592
1.0,-1.0,signal,2017,5719,0.03649505534402245,22.568573927098363
1.0,-1.0,signal,2018,5991,0.054937715916192086,33.97353124561264
1.0,-1.0,signal,2024,2071,0.1054153260700335,65.18892921340371
1.0,-1.0,signal,2025,2546,0.10977479745614566,67.88483010554079
1.0,-1.0,signal,2223,124754,0.2476519752693477,153.14819663573027
